City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Honningsvag,NO,70.9821,25.9704,28.24,93,100,24.43,light snow
335,Suzhou,CN,31.3114,120.6181,51.01,97,0,2.19,clear sky
336,Manitouwadge,CA,49.1215,-85.8403,3.2,71,75,8.05,broken clouds
337,Puerto Narino,CO,-3.7703,-70.3831,84.2,79,40,0.43,scattered clouds
338,Leningradskiy,RU,69.3833,178.4167,-10.84,74,0,6.38,clear sky
339,Kardymovo,RU,54.8902,32.4311,-0.81,93,84,7.72,broken clouds
340,Antalaha,MG,-14.9003,50.2788,75.11,86,99,3.49,overcast clouds
341,Uige,AO,-7.6087,15.0613,67.96,93,100,1.12,moderate rain
342,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,69.85,73,0,8.52,clear sky
343,Souillac,MU,-20.5167,57.5167,78.8,78,40,4.61,scattered clouds
344,Itoman,JP,26.1247,127.6694,68.0,77,40,6.91,scattered clouds
345,Healesville,AU,-37.65,145.5167,62.01,89,96,4.0,light rain
